region,zone,woreda,ADM3_PCODE
Oromia,Ilu Aba Bora,Hurumu,ET040316
Oromia,Ilu Aba Bora,Didu,ET040317
Oromia,Ilu Aba Bora,Halu /Huka,ET040319
Oromia,Ilu Aba Bora,Metu town,ET040320
Oromia,Ilu Aba Bora,Dorani,ET040324
Oromia,Jimma,Limu Seka,ET040401
Oromia,Jimma,Limu Kosa,ET040402
Oromia,Jimma,Sekoru,ET040403
Oromia,Jimma,Tiro Afeta,ET040404
Oromia,Jimma,Kersa (Jimma),ET040405
Oromia,Jimma,Mena (Jimma),ET040406
Oromia,Jimma,Goma,ET040407
Oromia,Jimma,Gera,ET040408
Oromia,Jimma,Seka Chekorsa,ET040409
Oromia,Jimma,Dedo,ET040410
Oromia,Jimma,Omo Nada,ET040411
Oromia,Jimma,Sigmo,ET040412
Oromia,Jimma,Setema,ET040413
Oromia,Jimma,Shebe Sambo,ET040414
Oromia,Jimma,Chora (Jimma),ET040415
Oromia,Jimma,Gumay,ET040416
Oromia,Jimma,Agaro town,ET040417
Oromia,Jimma,Jimma town,ET040418
Oromia,Jimma,Mancho,ET040490
Oromia,Jimma,Omo Beyam,ET040491
Oromia,Jimma,Botor Tolay,ET040495
Oromia,Jimma,Nono Benja,ET040499
Oromia,West Shewa,Illu Galan,ET040500
Oromia,West Shewa,Ginde Beret,ET040501
Oromia,West Shewa,Jeldu,ET040502
Oromia,West Shewa,Ambo Zuria,ET040503
Oromia,West Shewa,Mida Kegn,ET040504
Oromia,West Shewa,Cheliya,ET040505
Oromia,West Shewa,Bako Tibe,ET040506
Oromia,West Shewa,Dano,ET040507
Oromia,West Shewa,Nono,ET040508
Oromia,West Shewa,Tikur Enchini,ET040509
Oromia,West Shewa,Dendi,ET040510
Oromia,West Shewa,Ejere /Addis Alem,ET040511
Oromia,West Shewa,Adda Berga,ET040513
Oromia,West Shewa,Meta Robi,ET040514
Oromia,West Shewa,Ambo town,ET040515
Oromia,West Shewa,Abuna Ginde Beret,ET040516
Oromia,West Shewa,Toke Kutaye,ET040517
Oromia,West Shewa,Jibat,ET040518
Oromia,West Shewa,Ifata,ET040519
Oromia,West Shewa,Ejersa Lafo,ET040590
Oromia,West Shewa,Cobi,ET040592
Oromia,West Shewa,Meta Walkite,ET040594
Oromia,West Shewa,Liban Jawi,ET040597
Oromia,North Shewa (OR),Wara Jarso,ET040601
Oromia,North Shewa (OR),Dera (OR),ET040602
Oromia,North Shewa (OR),Hidabu Abote,ET040603
Oromia,North Shewa (OR),Kuyu,ET040604
Oromia,North Shewa (OR),Degem,ET040605
Oromia,North Shewa (OR),Gerar Jarso,ET040606
Oromia,North Shewa (OR),Debre Libanos,ET040607
Oromia,North Shewa (OR),Wuchale,ET040608
Oromia,North Shewa (OR),Abichugna Gne'a,ET040609
Oromia,North Shewa (OR),Kimbibit,ET040610
Oromia,North Shewa (OR),Fiche town,ET040613
Oromia,North Shewa (OR),Yaya Gulele,ET040614
Oromia,North Shewa (OR),Jida,ET040615
Oromia,North Shewa (OR),Aleltu,ET040617
Oromia,East Shewa,Fentale,ET040701
Oromia,East Shewa,Boset,ET040702
Oromia,East Shewa,Adama,ET040703
Oromia,East Shewa,Lome (OR),ET040704
Oromia,East Shewa,Gimbichu,ET040705
Oromia,East Shewa,Ada'a,ET040706
Oromia,East Shewa,Dugda,ET040707
Oromia,East Shewa,Adama Tulu Jido Kombolcha,ET040708
Oromia,East Shewa,Bishoftu town,ET040709
Oromia,East Shewa,Bora (OR),ET040710
Oromia,East Shewa,Liben Chukala,ET040711
Oromia,East Shewa,Adama town,ET040714
Oromia,East Shewa,Mojo Town,ET040797
Oromia,East Shewa,Metehara town,ET040799
Oromia,Arsi,Merti,ET040801
Oromia,Arsi,Aseko,ET040802
Oromia,Arsi,Golocha,ET040803
Oromia,Arsi,Jeju,ET040804
Oromia,Arsi,Dodota,ET040805
Oromia,Arsi,Ziway Dugda,ET040806
Oromia,Arsi,Hitosa,ET040807
Oromia,Arsi,Sude,ET040808
Oromia,Arsi,Chole,ET040809
Oromia,Arsi,Amigna,ET040810
Oromia,Arsi,Seru,ET040811
Oromia,Arsi,Robe,ET040812
Oromia,Arsi,Tena,ET040813
Oromia,Arsi,Shirka,ET040814
Oromia,Arsi,Degeluna Tijo,ET040815
Oromia,Arsi,Tiyo,ET040816
Oromia,Arsi,Munessa,ET040817
Oromia,Arsi,Limu Bilbilo,ET040818
Oromia,Arsi,Guna,ET040819
Oromia,Arsi,Sire,ET040820
Oromia,Arsi,Lude Hitosa,ET040821
Oromia,Arsi,Diksis,ET040822
Oromia,Arsi,Bele Gesgar,ET040823
Oromia,Arsi,Inkolo Wabe,ET040824
Oromia,Arsi,Asela town,ET040825
Oromia,Arsi,Shanan Kolu,ET040893
Oromia,Arsi,Bekoji town,ET040894
Oromia,West Hararge,Mieso,ET040901
Oromia,West Hararge,Doba,ET040902
Oromia,West Hararge,Tulo (OR),ET040903
Oromia,West Hararge,Mesela,ET040904
Oromia,West Hararge,Chiro town,ET040905
Oromia,West Hararge,Anchar,ET040906
Oromia,West Hararge,Goba Koricha,ET040907
Oromia,West Hararge,Habro,ET040908
Oromia,West Hararge,Daro Lebu,ET040909
Oromia,West Hararge,Boke,ET040910
Oromia,West Hararge,Kuni /Oda Bultum,ET040911
Oromia,West Hararge,Gemechis,ET040912
Oromia,West Hararge,Chiro Zuria,ET040913
Oromia,West Hararge,Bedesa,ET040914
Oromia,West Hararge,Hawi Gudina,ET040915
Oromia,West Hararge,Gumbi Bordede,ET040991
Oromia,West Hararge,Burqua Dhintu,ET040998
Oromia,East Hararge,Babile town,ET041000
Oromia,East Hararge,Kombolcha,ET041001
Oromia,East Hararge,Jarso (East Hararghe),ET041002
Oromia,East Hararge,Gursum (OR),ET041003
Oromia,East Hararge,Babile (OR),ET041004
Oromia,East Hararge,Fedis,ET041005
Oromia,East Hararge,Haro Maya,ET041006
Oromia,East Hararge,Kurfa Chele,ET041007
Oromia,East Hararge,Kersa (East Hararge),ET041008
Oromia,East Hararge,Meta,ET041009
Oromia,East Hararge,Goro Gutu,ET041010
Oromia,East Hararge,Deder,ET041011
Oromia,East Hararge,Melka Balo,ET041012
Oromia,East Hararge,Bedeno,ET041013
Oromia,East Hararge,Midhaga Tola,ET041014
Oromia,East Hararge,Chinaksen,ET041015
Oromia,East Hararge,Girawa,ET041016
Oromia,East Hararge,Golo Oda,ET041017
Oromia,East Hararge,Meyu Muleke,ET041018
Oromia,East Hararge,Haromaya town,ET041019
Oromia,East Hararge,Goro Muti,ET041089
Oromia,East Hararge,Deder town,ET041097
Oromia,East Hararge,Kumbi,ET041098
Oromia,East Hararge,Aweday town,ET041099
Oromia,Bale,Agarfa,ET041104
Oromia,Bale,Gasera,ET041106
Oromia,Bale,Sinana,ET041109
Oromia,Bale,Goba (OR),ET041110
Oromia,Bale,Harena Buluk,ET041111
Oromia,Bale,Mena (Bale),ET041112
Oromia,Bale,Meda Welabu,ET041113
Oromia,Bale,Berbere,ET041114
Oromia,Bale,Gura Damole,ET041115
Oromia,Bale,Goro (Bale),ET041116
Oromia,Bale,Robe Town,ET041119
Oromia,Bale,Goba town,ET041120
Oromia,Bale,Dinsho,ET041122
Oromia,Borena,Yabelo,ET041207
Oromia,Borena,Arero,ET041208
Oromia,Borena,Moyale (OR),ET041210
Oromia,Borena,Dire,ET041211
Oromia,Borena,Teltale,ET041212
Oromia,Borena,Miyo,ET041216
Oromia,Borena,Dilo,ET041219
Oromia,Borena,Dhas,ET041220
Oromia,Borena,Gomole,ET041223
Oromia,Borena,Guchi,ET041290
Oromia,Borena,Dubluk,ET041291
Oromia,Borena,Elwaya,ET041295
Oromia,Borena,Yabelo town,ET041296
Oromia,Borena,Wachile,ET041298
Oromia,South West Shewa,Ameya,ET041301
Oromia,South West Shewa,Wenchi,ET041302
Oromia,South West Shewa,Waliso,ET041303
Oromia,South West Shewa,Dawo,ET041304
Oromia,South West Shewa,Ilu,ET041305
Oromia,South West Shewa,Kersana Malima,ET041307
Oromia,South West Shewa,Tole,ET041308
Oromia,South West Shewa,Becho (SW Shewa),ET041309
Oromia,South West Shewa,Seden Sodo,ET041310
Oromia,South West Shewa,Woliso town,ET041311
Oromia,South West Shewa,Goro (SW Shewa),ET041312
Oromia,South West Shewa,Sodo Daci,ET041314
Oromia,Guji,Uraga,ET041401
Oromia,Guji,Bore,ET041402
Oromia,Guji,Adola,ET041403
Oromia,Guji,Wadera,ET041404
Oromia,Guji,Odo Shakiso,ET041405
Oromia,Guji,Liben,ET041407
Oromia,Guji,Dama,ET041408
Oromia,Guji,Arda Jila,ET041409
Oromia,Guji,Girja /Harenfema,ET041410
Oromia,Guji,Ana Sora,ET041411
Oromia,Guji,Saba Boru,ET041412
Oromia,Guji,Gora Dola,ET041413
Oromia,Guji,Negele town,ET041414
Oromia,Guji,Aga Wayu,ET041482
Oromia,Guji,Haro Walabu,ET041490
Oromia,Guji,Adola town,ET041492
Oromia,Guji,Gumi Idalo,ET041497
Oromia,Guji,Shakiso town,ET041499
Oromia,West Guji,Bule Hora,ET041501
Oromia,West Guji,Kercha,ET041502
Oromia,West Guji,Hambela Wamena,ET041509
Oromia,West Guji,Abaya,ET041513
Oromia,West Guji,Dugda Dawa,ET041515
Oromia,West Guji,Gelana (West Guji),ET041517
Oromia,West Guji,Melka Soda,ET041518
Oromia,West Guji,Bule Hora town,ET041587
Oromia,West Guji,Suro Berguda,ET041594
Oromia,West Guji,Birbirsa Kojowa,ET041596
Oromia,Buno Bedele,Chora (Buno Bedele),ET041603
