region,zone,woreda,adm3_pcode,adm3_en,adm1_en,adm2_en,score,method,needs_review
Addis Ababa,Nefas silk,10,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,11,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,12,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,13,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,14,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,15,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,2,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,5,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,6,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,7,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,8,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Nefas silk,9,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
Addis Ababa,Yeka,12,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,1,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,10,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,11,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,12,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,2,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,3,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,4,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,5,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,6,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,7,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,8,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,yeka,9,ET140107,Yeka,Addis Ababa,Region 14,1,addis_subcity,FALSE
Afar,Awsi /Zone 1,Adaar,ET020109,Adar,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Afambo,ET020104,Afambo,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Aysaita Town,ET020111,Asayita town,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Aysaita Woreda,ET020103,Asayita,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Chifra,ET020106,Chifra,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Dubti Town,ET020107,Dubti town,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Dubti woreda,ET020101,Dubti,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Elidar,ET020102,Elidar,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Kori,ET020108,Kori,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Mille woreda,ET020105,Mile,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi /Zone 1,Samera-Logia Town,ET020198,Samera Logiya town,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Adaar,ET020109,Adar,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Afambo,ET020104,Afambo,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Aysaita Town,ET020111,Asayita town,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Aysaita Woreda,ET020103,Asayita,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Chifra,ET020106,Chifra,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Dubti Town,ET020107,Dubti town,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Dubti woreda,ET020101,Dubti,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Elidar,ET020102,Elidar,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Gereni,ET020110,Gerani,Afar,Awsi /Zone 1,1,key,FALSE
