region,period,indicator,group,label,value_type,n_woreda,n_reported,n_pairs,num_sum,denom_sum,pct_reported,value_pct,value_pct_capped
Addis Ababa,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,120,120,119,119,119,100,100,100
Addis Ababa,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,119,119,118,118,118,100,100,100
Afar,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,40,40,40,497,520,100,95.57692307692308,95.57692307692308
Afar,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,40,40,39,488,507,100,96.25246548323472,96.25246548323472
Afar,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,40,40,40,1000,1000,100,100,100
Amhara,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,221,221,213,4639.538461538462,5076,100,91.40146693338183,91.40146693338183
Amhara,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,221,221,213,4683.333333333333,5076,100,92.2642500656685,92.2642500656685
Amhara,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,221,221,213,4521.333333333333,4949,100,91.35852360746279,91.35852360746279
Benishangul Gumuz,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,23,23,23,299,299,100,100,100
Benishangul Gumuz,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,23,23,23,279,299,100,93.31103678929766,93.31103678929766
Benishangul Gumuz,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,23,23,23,536,575,100,93.21739130434783,93.21739130434783
Central Ethiopia,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,82,82,82,82,82,100,100,100
Dire Dawa,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,18,18,18,104,105,100,99.04761904761905,99.04761904761905
Dire Dawa,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,18,18,18,105,105,100,100,100
Dire Dawa,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,18,18,18,18,18,100,100,100
Gambella,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,14,14,14,182,182,100,100,100
Gambella,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,14,14,14,182,182,100,100,100
Gambella,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,14,14,14,350,350,100,100,100
Harari,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,9,9,9,117,117,100,100,100
Harari,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,9,9,9,59,59,100,100,100
Harari,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,1,1,1,9,9,100,100,100
Sidama,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,38,38,38,494,494,100,100,100
Sidama,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,38,38,38,453,456,100,99.34210526315789,99.34210526315789
Sidama,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,38,38,38,981,988,100,99.2914979757085,99.2914979757085
Somali,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,118,118,118,143,240,100,59.583333333333336,59.583333333333336
Somali,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,118,118,118,143,240,100,59.583333333333336,59.583333333333336
Somali,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,118,118,118,143,240,100,59.583333333333336,59.583333333333336
South Ethiopia,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,96,96,96,1248,1248,100,100,100
South Ethiopia,2025-Wk16-27,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,96,96,96,1248,1248,100,100,100
South Ethiopia,2025-Wk28-52,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,96,96,96,2494,2496,100,99.9198717948718,99.9198717948718
Tigray,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,84,12,12,33,35,14.3,94.28571428571429,94.28571428571429
Addis Ababa,2025-Wk03-15,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,11,11,11,1259,1259,100,100,100
