adm3_pcode,adm3_en,ref_region,population_best
ET040797,Mojo Town,Oromia,61607.62014398821
ET040799,Metehara town,Oromia,42335.52023955861
ET040801,Merti,Oromia,140610.74198019624
ET040802,Aseko,Oromia,128430.24079313331
ET040803,Golocha,Oromia,156147.0975548294
ET040804,Jeju,Oromia,167341.39757137198
ET040805,Dodota,Oromia,102176.16832416796
ET040806,Ziway Dugda,Oromia,160716.17453449487
ET040807,Hitosa,Oromia,192786.98810865718
ET040808,Sude,Oromia,224586.26625295612
ET040809,Chole,Oromia,136960.3455593834
ET040810,Amigna,Oromia,112568.42017258824
ET040811,Seru,Oromia,73405.79414776101
ET040812,Robe,Oromia,255439.22348304378
ET040813,Tena,Oromia,101855.85483843798
ET040814,Shirka,Oromia,251310.90392384835
ET040815,Degeluna Tijo,Oromia,216314.07747266616
ET040816,Tiyo,Oromia,133072.03406145907
ET040817,Munessa,Oromia,256088.8757159442
ET040818,Limu Bilbilo,Oromia,248287.0781681551
ET040819,Guna,Oromia,117081.0450304466
ET040820,Sire,Oromia,120307.23418716113
ET040821,Lude Hitosa,Oromia,166110.9359989266
ET040822,Diksis,Oromia,127667.73335846016
ET040823,Bele Gesgar,Oromia,113512.86808733379
ET040824,Inkolo Wabe,Oromia,90413.20548527439
ET040825,Asela town,Oromia,118577.95809121689
ET040893,Shanan Kolu,Oromia,105586.12275212884
ET040894,Bekoji town,Oromia,31273.253794078697
ET040901,Mieso,Oromia,152386.13933280078
ET040902,Doba,Oromia,203748.6645109366
ET040903,Tulo (OR),Oromia,226718.68072708027
ET040905,Chiro town,Oromia,59351.77917487492
ET040906,Anchar,Oromia,125313.59065426521
ET040907,Goba Koricha,Oromia,152243.26918676728
ET040908,Habro,Oromia,294816.63968723285
ET040909,Daro Lebu,Oromia,211217.98679662377
ET040910,Boke,Oromia,160971.85175484352
ET040911,Kuni /Oda Bultum,Oromia,239821.99316281764
ET040912,Gemechis,Oromia,264605.4492779824
ET040913,Chiro Zuria,Oromia,257443.2626721972
ET040914,Bedesa,Oromia,32059.12705237452
ET040915,Hawi Gudina,Oromia,75391.15462146985
ET040991,Gumbi Bordede,Oromia,99680.76903389905
ET040998,Burqua Dhintu,Oromia,65560.8195761687
ET041000,Babile town,Oromia,31221.443535516846
ET041001,Kombolcha,Oromia,169835.53276335454
ET041002,Jarso (East Hararghe),Oromia,177697.85907134213
ET041003,Gursum (OR),Oromia,233182.2368777111
ET041004,Babile (OR),Oromia,113398.44755641377
ET041005,Fedis,Oromia,172508.80679565357
ET041006,Haro Maya,Oromia,339746.97877408884
ET041007,Kurfa Chele,Oromia,90368.18122223023
ET041008,Kersa (East Hararge),Oromia,261632.1247514003
ET041009,Meta,Oromia,263859.8597181554
ET041010,Goro Gutu,Oromia,220570.35983848848
ET041011,Deder,Oromia,337747.294018784
ET041012,Melka Balo,Oromia,271126.0119205899
ET041013,Bedeno,Oromia,364328.430529652
ET041014,Midhaga Tola,Oromia,115502.57813532962
ET041015,Chinaksen,Oromia,134949.8056440241
