adm3_pcode,adm3_en,ref_region,ref_zone,indicator,group,label,value_type,period,num_sum,denom_sum,n_records,value_pct,value_pct_capped
ET010106,Tselemti,Tigray,North Western,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,2025-Wk16-27,15.583333333333332,20,2,77.91666666666666,77.91666666666666
ET010106,Tselemti,Tigray,North Western,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,2025-Wk28-52,14,22,2,63.63636363636363,63.63636363636363
ET010107,Sheraro town,Tigray,North Western,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,2025-Wk03-15,0,0,1,NA,NA
ET010107,Sheraro town,Tigray,North Western,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,2025-Wk03-15,18,25,1,72,72
ET010107,Sheraro town,Tigray,North Western,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010107,Sheraro town,Tigray,North Western,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,2025-Wk03-15,0,0,1,NA,NA
ET010107,Sheraro town,Tigray,North Western,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,2025-Wk03-15,0,0,1,NA,NA
ET010107,Sheraro town,Tigray,North Western,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,2025-Wk03-15,0,2,1,0,0
ET010107,Sheraro town,Tigray,North Western,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010107,Sheraro town,Tigray,North Western,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,2025-Wk03-15,1,2,1,50,50
ET010107,Sheraro town,Tigray,North Western,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010107,Sheraro town,Tigray,North Western,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,2025-Wk03-15,0,0,1,NA,NA
