region,indicator,label,value_pct,target,gap,status,pct_reported
Somali,EPR_FUNDS,Districts with EPR funds / budget line,NA,80,NA,NA,100
South Ethiopia,EPR_FUNDS,Districts with EPR funds / budget line,0,80,-80,below target,100
Addis Ababa,CONTINGENCY,Districts with contingency stocks (3-6 months),15.254237288135592,80,-64.7,below target,100
Afar,CONTINGENCY,Districts with contingency stocks (3-6 months),0,80,-80,below target,100
Amhara,CONTINGENCY,Districts with contingency stocks (3-6 months),NA,80,NA,NA,0
Benishangul Gumuz,CONTINGENCY,Districts with contingency stocks (3-6 months),0,80,-80,below target,100
Dire Dawa,CONTINGENCY,Districts with contingency stocks (3-6 months),100,80,20,meets target,100
Gambella,CONTINGENCY,Districts with contingency stocks (3-6 months),0,80,-80,below target,100
Harari,CONTINGENCY,Districts with contingency stocks (3-6 months),0,80,-80,below target,100
Oromia,CONTINGENCY,Districts with contingency stocks (3-6 months),NA,80,NA,NA,100
Sidama,CONTINGENCY,Districts with contingency stocks (3-6 months),34.21052631578947,80,-45.8,below target,100
Somali,CONTINGENCY,Districts with contingency stocks (3-6 months),NA,80,NA,NA,100
South Ethiopia,CONTINGENCY,Districts with contingency stocks (3-6 months),15.625,80,-64.4,below target,100
Addis Ababa,PHEM_OFFICER,Health facilities with PHEM officer,100,80,20,meets target,100
Afar,PHEM_OFFICER,Health facilities with PHEM officer,0,80,-80,below target,100
Amhara,PHEM_OFFICER,Health facilities with PHEM officer,NA,80,NA,NA,0
Benishangul Gumuz,PHEM_OFFICER,Health facilities with PHEM officer,0,80,-80,below target,100
Dire Dawa,PHEM_OFFICER,Health facilities with PHEM officer,0,80,-80,below target,100
Gambella,PHEM_OFFICER,Health facilities with PHEM officer,0,80,-80,below target,100
Harari,PHEM_OFFICER,Health facilities with PHEM officer,0,80,-80,below target,100
Oromia,PHEM_OFFICER,Health facilities with PHEM officer,0,80,-80,below target,100
Sidama,PHEM_OFFICER,Health facilities with PHEM officer,0,80,-80,below target,100
Somali,PHEM_OFFICER,Health facilities with PHEM officer,50,80,-30,below target,100
South Ethiopia,PHEM_OFFICER,Health facilities with PHEM officer,0,80,-80,below target,100
Addis Ababa,DHIS2_RPT,Districts reporting weekly via DHIS2,11.270296084049663,80,-68.7,below target,100
Afar,DHIS2_RPT,Districts reporting weekly via DHIS2,7.723577235772358,80,-72.3,below target,100
Amhara,DHIS2_RPT,Districts reporting weekly via DHIS2,NA,80,NA,NA,0
Benishangul Gumuz,DHIS2_RPT,Districts reporting weekly via DHIS2,73.91304347826087,80,-6.1,below target,100
Dire Dawa,DHIS2_RPT,Districts reporting weekly via DHIS2,100,80,20,meets target,100
Gambella,DHIS2_RPT,Districts reporting weekly via DHIS2,5.921052631578948,80,-74.1,below target,100
Harari,DHIS2_RPT,Districts reporting weekly via DHIS2,60,80,-20,below target,100
Oromia,DHIS2_RPT,Districts reporting weekly via DHIS2,NA,80,NA,NA,100
Sidama,DHIS2_RPT,Districts reporting weekly via DHIS2,23.75,80,-56.2,below target,100
Somali,DHIS2_RPT,Districts reporting weekly via DHIS2,31.35593220338983,80,-48.6,below target,100
South Ethiopia,DHIS2_RPT,Districts reporting weekly via DHIS2,100,80,20,meets target,100
Addis Ababa,COORD_PLATFORM,Districts with functional coordination platform / RRT,11.0792741165234,80,-68.9,below target,100
Afar,COORD_PLATFORM,Districts with functional coordination platform / RRT,0,80,-80,below target,100
Amhara,COORD_PLATFORM,Districts with functional coordination platform / RRT,NA,80,NA,NA,0
Benishangul Gumuz,COORD_PLATFORM,Districts with functional coordination platform / RRT,78.26086956521739,80,-1.7,below target,100
Dire Dawa,COORD_PLATFORM,Districts with functional coordination platform / RRT,100,80,20,meets target,100
Gambella,COORD_PLATFORM,Districts with functional coordination platform / RRT,5.921052631578948,80,-74.1,below target,100
Harari,COORD_PLATFORM,Districts with functional coordination platform / RRT,60,80,-20,below target,100
Oromia,COORD_PLATFORM,Districts with functional coordination platform / RRT,NA,80,NA,NA,100
Sidama,COORD_PLATFORM,Districts with functional coordination platform / RRT,12.5,80,-67.5,below target,100
Somali,COORD_PLATFORM,Districts with functional coordination platform / RRT,0,80,-80,below target,100
South Ethiopia,COORD_PLATFORM,Districts with functional coordination platform / RRT,33.333333333333336,80,-46.7,below target,100
