period,region,indicator,label,value_pct,pct_reported
2025-Wk16-27,Amhara,DETECT_7D,Outbreaks detected within 7 days,NA,0
2025-Wk16-27,Amhara,RPT_TIMELY,Surveillance reports submitted on time (timeliness),86.78895877009084,100
2025-Wk16-27,Amhara,RPT_COMPLETE,Surveillance reports submitted completely (completeness),92.2642500656685,100
2025-Wk16-27,Amhara,CB_ELIM,Case-based reporting: elimination/eradication diseases,NA,0
2025-Wk16-27,Amhara,CB_EVENTS,Case-based reporting: selected events/conditions,NA,0
2025-Wk16-27,Amhara,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,0
2025-Wk16-27,Amhara,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,0
2025-Wk16-27,Amhara,LINEGRAPH,Current line graph available for priority diseases,NA,0
2025-Wk16-27,Amhara,OBR_ANALYZED,Outbreak reports with analyzed case-based data,NA,0
2025-Wk16-27,Amhara,LAB_7D,Outbreaks with laboratory results within 7 days,NA,0
2025-Wk16-27,Amhara,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,0
2025-Wk16-27,Amhara,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,NA,100
2025-Wk16-27,Amhara,RISK_MAP,Districts conducting risk & resource mapping,NA,0
2025-Wk16-27,Amhara,EPR_FUNDS,Districts with EPR funds / budget line,NA,0
2025-Wk16-27,Amhara,CONTINGENCY,Districts with contingency stocks (3-6 months),NA,0
2025-Wk16-27,Amhara,PHEM_OFFICER,Health facilities with PHEM officer,NA,0
2025-Wk16-27,Amhara,DHIS2_RPT,Districts reporting weekly via DHIS2,NA,0
2025-Wk16-27,Amhara,COORD_PLATFORM,Districts with functional coordination platform / RRT,NA,0
2025-Wk28-52,Amhara,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,0
2025-Wk28-52,Amhara,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,0
2025-Wk28-52,Amhara,DETECT_7D,Outbreaks detected within 7 days,NA,0
2025-Wk28-52,Amhara,RPT_TIMELY,Surveillance reports submitted on time (timeliness),91.3585236074628,100
2025-Wk28-52,Amhara,RPT_COMPLETE,Surveillance reports submitted completely (completeness),91.3585236074628,100
2025-Wk28-52,Amhara,CB_ELIM,Case-based reporting: elimination/eradication diseases,NA,0
2025-Wk28-52,Amhara,CB_EVENTS,Case-based reporting: selected events/conditions,NA,0
2025-Wk28-52,Amhara,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,0
2025-Wk28-52,Amhara,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,0
2025-Wk28-52,Amhara,LINEGRAPH,Current line graph available for priority diseases,NA,0
2025-Wk28-52,Amhara,OBR_ANALYZED,Outbreak reports with analyzed case-based data,NA,0
2025-Wk28-52,Amhara,LAB_7D,Outbreaks with laboratory results within 7 days,NA,0
2025-Wk28-52,Amhara,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,0
2025-Wk28-52,Amhara,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,NA,100
2025-Wk28-52,Amhara,RISK_MAP,Districts conducting risk & resource mapping,NA,0
2025-Wk28-52,Amhara,EPR_FUNDS,Districts with EPR funds / budget line,NA,0
2025-Wk28-52,Amhara,CONTINGENCY,Districts with contingency stocks (3-6 months),NA,0
2025-Wk28-52,Amhara,PHEM_OFFICER,Health facilities with PHEM officer,NA,0
2025-Wk28-52,Amhara,DHIS2_RPT,Districts reporting weekly via DHIS2,NA,0
2025-Wk28-52,Amhara,COORD_PLATFORM,Districts with functional coordination platform / RRT,NA,0
